esri_id,esri_idn,GEOID,stcnty,total_pop2016,total_25plus,nHwtindiv,prp_nHwHHs,prp_HSminus,prp_no_auto,prp_not_insured,EstPropPersons5PlusNoEnglish,median_HH_inc
370030402001,370030402001,15000US370030402001,37003,1309,951,0.9511077158,0.958250497,0.603575184,0.1272365805,0.0496562261,0.018549747,45268
370030402002,370030402002,15000US370030402002,37003,773,613,0.9417852523,0.9402515723,0.5481239804,0,0.1474773609,0.0092592593,36071
370030402003,370030402003,15000US370030402003,37003,1927,1348,0.9984431759,0.9958791209,0.543768546,0.0096153846,0.0871821484,0.0111296605,52667
370030403001,370030403001,15000US370030403001,37003,1178,896,0.8505942275,0.9136276392,0.6875,0.0153550864,0.0755517827,0.0300353357,34152
370030403002,370030403002,15000US370030403002,37003,1952,1423,0.9805327869,1,0.4708362614,0.0176470588,0.1147540984,0,46570
370030404001,370030404001,15000US370030404001,37003,1721,1204,0.9238814643,0.9434306569,0.6918604651,0.0711678832,0.0778617083,0.0316229117,48958
370030404002,370030404002,15000US370030404002,37003,1560,1201,0.8673076923,0.9046052632,0.6619483764,0.1036184211,0.1252699784,0.0253246753,22381
370030404003,370030404003,15000US370030404003,37003,980,764,0.7642857143,0.8262711864,0.3979057592,0.1186440678,0.1206715635,0.0313901345,40132
370030404004,370030404004,15000US370030404004,37003,1312,993,0.8041158537,0.8930693069,0.6022155086,0.1128712871,0.0640243902,0.0437956204,31424
370030404005,370030404005,15000US370030404005,37003,1379,804,0.6352429297,0.8132387707,0.8084577114,0.0567375887,0.0913705584,0.0098559515,27181
370030405001,370030405001,15000US370030405001,37003,1358,727,0.8166421208,0.7837338262,0.7221458047,0.0258780037,0.2231222386,0.0987748851,27746
370030405002,370030405002,15000US370030405002,37003,1031,691,0.7381183317,0.822622108,0.6975397974,0.0231362468,0.1726479146,0.2407211029,27250
370030405003,370030405003,15000US370030405003,37003,2320,1312,0.7711206897,0.8982826948,0.7644817073,0.0184940555,0.15,0.2367661213,29784
370030405004,370030405004,15000US370030405004,37003,2170,1653,0.8986175115,0.9324894515,0.5958862674,0.0084388186,0.0580645161,0.0067210754,36500
370030406001,370030406001,15000US370030406001,37003,3317,2179,0.5975278866,0.8831168831,0.7792565397,0.0216450216,0.1488616462,0.0918267665,41417
370030406002,370030406002,15000US370030406002,37003,1678,1134,0.9713945173,0.987012987,0.5864197531,0.1183261183,0.0756853397,0.0107913669,32180
370030406003,370030406003,15000US370030406003,37003,1494,1279,1,1,0.5441751368,0,0.1492637216,0.0094658553,56713
370030407001,370030407001,15000US370030407001,37003,1339,894,1,1,0.663310962,0,0.0978342046,0,36154
370030407002,370030407002,15000US370030407002,37003,820,631,0.9646341463,1,0.3977812995,0.05,0.212195122,0.0168612192,81923
370030407003,370030407003,15000US370030407003,37003,1741,1494,0.9546237794,0.9569752282,0.3493975904,0.0156453716,0.1682940839,0,54297
370030407004,370030407004,15000US370030407004,37003,2555,1749,0.9091976517,1,0.2881646655,0.0151187905,0.0833659491,0.0197147651,63397
370059501001,370059501001,15000US370059501001,37005,834,672,0.9856115108,0.9693877551,0.431547619,0,0.1630695444,0.0135301353,40313
370059501002,370059501002,15000US370059501002,37005,923,722,0.9371614301,0.9504310345,0.6731301939,0.0732758621,0.1635969664,0.0406779661,39559
370059501003,370059501003,15000US370059501003,37005,1351,922,0.8097705403,0.848857645,0.5932754881,0.0773286467,0.2065136936,0.0843949045,36385
370059501004,370059501004,15000US370059501004,37005,1048,791,0.9284351145,1,0.4058154235,0.0204603581,0.088740458,0.0641925777,46635
370059502001,370059502001,15000US370059502001,37005,1035,770,0.7381642512,0.7986725664,0.4584415584,0.0862831858,0.128256513,0.1179941003,26923
370059502002,370059502002,15000US370059502002,37005,989,672,0.9009100101,0.8920570265,0.462797619,0.1099796334,0.2254802831,0.0890688259,30764
370059502003,370059502003,15000US370059502003,37005,903,593,0.765227021,0.8674698795,0.6020236088,0.1012048193,0.1439645626,0.064792176,22321
370059502004,370059502004,15000US370059502004,37005,875,560,0.7451428571,0.8274647887,0.6982142857,0.0528169014,0.3030690537,0.1997607656,31000
370059503001,370059503001,15000US370059503001,37005,1039,765,0.9258902791,0.9294117647,0.4366013072,0.0376470588,0.1203079885,0.084623323,46767
